CURRENT INSTRUCTIONAL CYCLE SKELETON ,,,,,,,,,,,,,,,,,
"Baseline assessment (6 questions, 20 seconds per question average = 3-5 minutes)",,,,,,,,,,,,,,,,,
Level 1  (Grade 1/2 roughly),,,,,,,,,,,,,,,,,
Week 1 Session 1 ,Time ,Learning Outcome (general),Description and SK's critiques,L,,S,R,Rc,W,,Notes to Kannan ,,,,,,
Game 1: Reorder Jumbled letters to form the correct word,,Identify the spelling of the word with clues,"Game 1:  The Jumble. 7–10 letters (Target letters + 2 ""Decoy"" letters). A riddle or a ""context sentence"" for the clue.  A ""Did you know?"" or ""Factoid"" using that word.",FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,,,,,,,
Animated Story Time,,follow a short story sequence and understand the main idea through combined audio and animation.,Story uses week's focus words in natural context. Culturally grounded visuals.,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 1: Drag and drop,,"remember and identify key details from a story to answer questions during interactive ""pause points.""","Pause every 45s to 1 minute.  Question pops-up.  Existing drag and drop - Question at the top, 4 options at the bottom. ",FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Letter Sound Correspondance,,Understand the rules for each of these letter groups,"1) Vowel Teams - ai, ay, ee, ea, oa, ou, ow, oi, oy.
2) R-Controlled Vowels - ar, er, ir, or, ur. (e.g., Car vs. Cat).
3) Diphthongs & Variants - au, aw, oo, ew.

We will need to add syllabification and prefix-suffix in this level.",TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,,,,,,,
Game 1: Drag and Drop (to fill in the blanks),,,"Game 1: Identity words with the same starting/ending sound - possible game interfaces - 
Drag and drop the correct blend into the blank -> Ref provided. After the answer is placed in the blank, there should be a submit button. Correct or wrong answer will be revealed after the button is clicked. ",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,
Game 2: Fill The Bottle,,Sort the words based on the correct starting/ending sounds.  ,"Game 2: Sort words: fill the bottle

Interface can be: Two jars -> students sort the word based on the blend it has. Example: drum, drag, drill (into t he dr jar), brick, brown, bright (into the br jar)",TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,
Game 3: Trace It,,produce the correct strokes to form the words learnt that session. ,Game 3: Tracing the blend along with the word,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,,,,,,
Week 1 Session 2,,,,L,LC,S,R,Rc,W,Grammar,,,,,,,
Recap on the focus words - a picture card slideshow. Interactive with 5 second pause. ,,"recognize and name focus words during a timed slideshow, improving their speed of word retrieval.",A picture card slideshow. Interactive with 5 second pause. ,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 1: Drag and Drop,,Identify picture that match a specific focus word.,Game 1: Existing Drag and drop -> audio of the picture mapped to the picture itself. (this can be one audio with 1 answer or 1 audio with multiple answers),TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 2: Spot It,,Identify all the pictures that match a specific focus word.,"Game 2: Select all the (example: school) - screen has multiple images from the theme, student choose all the school related pictures. ",TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Sight Words,,,Fry words 400+ list to be used here,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Game 1: Spot It,,find a target sight word from a group of options when they hear it spoken.,"Game 1: Tap all the words-> audio says a sight word, students have to click and choose the word. Interface can be flowers with the words (See ref image) or something simpler as given in the ref image. ",FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,,,,,,
Game 2: Trace It,,,Game 2: Trace the sight words,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,,
Phonics 2 - Read the Chant,,Read and comprehend a simple chant containing the sounds learnt,Read a few lines of a chant that contain the words with sounds/blends learnt that session.,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,
Game 1: Drag and Drop (to fill in the blanks),,,Game 1: Drag and Drop - Find the missing word in the chant (existing game),TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,,,,,,,
Game 2: Tap and Speak,,,Game 2: Tap and Speak (existing game),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,
Read With Me ,,Read and comprehend inferential passage.,Inferential texts containing the sounds learnt that week. 7-10 lines at the maximum. should also include the sight words of that week. (option to ask for help to read along),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,,,,,,
Game 1: Drag and Drop,,,Game 1: Drag and drop // choose the correct answer works. WH questions. (existing game),TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,,,,,,,
Game 2: Tap and Speak,,,Game 2: Tap and Speak (existing game),FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,,,,,,,
Game 3: Reorder Jumbled Sentence,,,Game 3: Jumbled sentence with 4 words. Students order it correctly. ,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,,,,,,,
